ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
5129 Market St,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",52ND STREET BRANCH,11,PA,42101,Pennsylvania,19139,"5129 Market St, Philadelphia, PA 19139",False,39.960143,-75.224474
2201 S Broad St,18409,Philadelphia,Philadelphia,"TD Bank, National Association",SOUTH BROAD BRANCH,11,PA,42101,Pennsylvania,19148,"2201 S Broad St, Philadelphia, PA 19148",False,39.922774,-75.169608
1950 S Columbus Blvd,3510,Philadelphia,Philadelphia,"Bank of America, National Association",COLUMBUS COMMONS BRANCH,11,PA,42101,Pennsylvania,19148,"1950 S Columbus Blvd, Philadelphia, PA 19148",False,39.921167,-75.142382
4020 City Line Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",CITY AVENUE BRANCH,11,PA,42101,Pennsylvania,19131,"4020 City Line Ave, Philadelphia, PA 19131",False,40.00774,-75.211802
1536 S Broad St,7759,Philadelphia,Philadelphia,Univest  Bank and Trust Co.,SOUTH PHILADELPHIA BRANCH,11,PA,42101,Pennsylvania,19146,"1536 S Broad St, Philadelphia, PA 19146",False,39.930723,-75.168607
"117-21 Spring Garden Street, Suite A",35497,Philadelphia,Philadelphia,Quaint Oak Bank,Philadelphia Branch Office,11,PA,42101,Pennsylvania,19123,"117-21 Spring Garden Street, Suite A, Philadelphia, PA 19123",False,39.960815,-75.13958
1839 Chestnut St,58513,Philadelphia,Philadelphia,The Bank of Princeton,The Bank of Princeton Chestnut Street Branch,11,PA,42101,Pennsylvania,19103,"1839 Chestnut St, Philadelphia, PA 19103",False,39.952074,-75.171732
2520 Grant Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",ROOSEVELT BOULEVARD BRANCH,11,PA,42101,Pennsylvania,19114,"2520 Grant Ave, Philadelphia, PA 19114",False,40.080038,-75.028073
3930 Woodhaven Rd,18409,Philadelphia,Philadelphia,"TD Bank, National Association",WOODHAVEN ROAD BRANCH,11,PA,42101,Pennsylvania,19154,"3930 Woodhaven Rd, Philadelphia, PA 19154",False,40.086611,-74.972593
8600 Germantown Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",CHESTNUT HILL BRANCH,11,PA,42101,Pennsylvania,19118,"8600 Germantown Ave, Philadelphia, PA 19118",False,40.076554,-75.207796
400 Market St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",INDEPENDENCE BRANCH,11,PA,42101,Pennsylvania,19106,"400 Market St, Philadelphia, PA 19106",False,39.950626,-75.146744
601 Chestnut St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",INDEPENDENCE HALL BRANCH,11,PA,42101,Pennsylvania,19106,"601 Chestnut St, Philadelphia, PA 19106",False,39.949465,-75.150916
900 Walnut St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",NINTH & WALNUT BRANCH,11,PA,42101,Pennsylvania,19107,"900 Walnut St, Philadelphia, PA 19107",False,39.947992,-75.156153
1101 Market St,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",ONE READING CENTER BRANCH,11,PA,42101,Pennsylvania,19107,"1101 Market St, Philadelphia, PA 19107",False,39.952059,-75.15853
912 W Beacon St,12204,Philadelphia,Neshoba,"The Citizens Bank of Philadelphia, Mississippi",WEST SIDE DRIVE-IN BRANCH,11,MS,28099,Mississippi,39350,"912 W Beacon St, Philadelphia, MS 39350",False,32.770937,-89.125981
6401 Woodland Ave,17838,Philadelphia,Philadelphia,"Wilmington Savings Fund Society, FSB",WOODLAND AVENUE BRANCH,11,PA,42101,Pennsylvania,19142,"6401 Woodland Ave, Philadelphia, PA 19142",False,39.926497,-75.23341
4710 Rising Sun Ave,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",FELTONVILLE BRANCH,11,PA,42101,Pennsylvania,19120,"4710 Rising Sun Ave, Philadelphia, PA 19120",False,40.022256,-75.125551
5900 N Broad St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",NORTH BROAD BRANCH,11,PA,42101,Pennsylvania,19141,"5900 N Broad St, Philadelphia, PA 19141",False,40.043103,-75.144213
1501 Chestnut St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",15TH & CHESTNUT BRANCH,11,PA,42101,Pennsylvania,19102,"1501 Chestnut St, Philadelphia, PA 19102",False,39.951283,-75.165868
1110 Central Dr,4993,Philadelphia,Neshoba,The Citizens National Bank of Meridian,PHILADELPHIA HWY 15 BRANCH,11,MS,28099,Mississippi,39350,"1110 Central Dr, Philadelphia, MS 39350",False,32.761041,-89.145921
7327 Frankford Ave,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",MAYFAIR TEESDALE BRANCH,11,PA,42101,Pennsylvania,19136,"7327 Frankford Ave, Philadelphia, PA 19136",False,40.03696,-75.03949
2401 E Venango St,29950,Philadelphia,Philadelphia,"Santander Bank, N.A.",PORT RICHMOND - ARAMINGO BRANCH,11,PA,42101,Pennsylvania,19134,"2401 E Venango St, Philadelphia, PA 19134",False,39.992941,-75.098803
521 W Main St,12204,Philadelphia,Neshoba,"The Citizens Bank of Philadelphia, Mississippi","The Citizens Bank of Philadelphia, Mississippi",11,MS,28099,Mississippi,39350,"521 W Main St, Philadelphia, MS 39350",False,32.770547,-89.109316
1727 Chestnut St,29627,Philadelphia,Philadelphia,Second Federal Savings and Loan Association of Philadelphia,Second Federal Savings and Loan Association of Philadelphia,11,PA,42101,Pennsylvania,19103,"1727 Chestnut St, Philadelphia, PA 19103",False,39.951857,-75.169744
320 E Girard Ave,33802,Philadelphia,Philadelphia,Tioga-Franklin Savings Bank,Tioga-Franklin Savings Bank,11,PA,42101,Pennsylvania,19125,"320 E Girard Ave, Philadelphia, PA 19125",False,39.969783,-75.130903
1510 Packer Ave,28836,Philadelphia,Philadelphia,United Savings Bank,United Savings Bank,11,PA,42101,Pennsylvania,19145,"1510 Packer Ave, Philadelphia, PA 19145",False,39.911903,-75.174318
1332 Point Breeze Ave,26647,Philadelphia,Philadelphia,Firstrust Savings Bank,POINT BREEZE AVENUE BRANCH,11,PA,42101,Pennsylvania,19146,"1332 Point Breeze Ave, Philadelphia, PA 19146",False,39.934563,-75.179722
1818 Market St,3510,Philadelphia,Philadelphia,"Bank of America, National Association",19TH AND MARKET BRANCH,11,PA,42101,Pennsylvania,19103,"1818 Market St, Philadelphia, PA 19103",False,39.952973,-75.171067
2227 S Broad St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",BROAD & WOLF S BRANCH,11,PA,42101,Pennsylvania,19148,"2227 S Broad St, Philadelphia, PA 19148",False,39.92198,-75.169803
1600 John F Kennedy Blvd,3510,Philadelphia,Philadelphia,"Bank of America, National Association",4 PENN CENTER BRANCH,11,PA,42101,Pennsylvania,19103,"1600 John F Kennedy Blvd, Philadelphia, PA 19103",False,39.95357,-75.16727
2514 Aramingo Ave,17838,Philadelphia,Philadelphia,"Wilmington Savings Fund Society, FSB",ARAMINGO AVENUE BRANCH,11,PA,42101,Pennsylvania,19125,"2514 Aramingo Ave, Philadelphia, PA 19125",False,39.97724,-75.119859
2001 Hamilton St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",CITY VIEW BRANCH,11,PA,42101,Pennsylvania,19130,"2001 Hamilton St, Philadelphia, PA 19130",False,39.9635,-75.17283
1760 Market St,57777,Philadelphia,Philadelphia,Meridian Bank,PHILADELPHIA BRANCH,11,PA,42101,Pennsylvania,19103,"1760 Market St, Philadelphia, PA 19103",False,39.952854,-75.170064
6509 Castor Ave,34759,Philadelphia,Philadelphia,Asian Bank,CASTOR AVENUE BRANCH,11,PA,42101,Pennsylvania,19149,"6509 Castor Ave, Philadelphia, PA 19149",False,40.040784,-75.07567
1100 Market St,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",11th St and Market St,11,PA,42101,Pennsylvania,19107,"1100 Market St, Philadelphia, PA 19107",False,39.951517,-75.1589
2444 S Broad St,7593,Philadelphia,Philadelphia,First Citizens Community Bank,South Philly Branch Office,11,PA,42101,Pennsylvania,19145,"2444 S Broad St, Philadelphia, PA 19145",False,39.919542,-75.171063
1111 S Broad St,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",1111 South Broad Branch,11,PA,42101,Pennsylvania,19147,"1111 S Broad St, Philadelphia, PA 19147",False,39.937332,-75.166433
8616 Germantown Ave,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",CHESTNUT HILL BRANCH,11,PA,42101,Pennsylvania,19118,"8616 Germantown Ave, Philadelphia, PA 19118",False,40.076859,-75.208333
134 S 34th St,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",UNIVERSITY CITY BRANCH,11,PA,42101,Pennsylvania,19104,"134 S 34th St, Philadelphia, PA 19104",False,39.953403,-75.192281
